language,genus,fam,phonemes,con,son,obs,vow,monoph,qua,ton,population
avu,Moru-Madi,nsah,55,37,17,20,14,14,7,4,40000
awn,Central Cushitic,afas,39,28,8,20,7,7,7,4,500000
awx,,trng,25,19,6,13,6,6,6,0,1870
ayl,Semitic,afas,50,34,9,25,16,8,8,0,4000000
ayr,Aymaran,ayma,42,36,9,27,6,6,3,0,1790000
ayz,North-Central Birds Head,wpap,16,11,5,6,5,5,5,0,20000
azb,Turkic,altc,34,25,4,21,9,9,9,0,11200000
azo,,ncon,56,39,17,22,17,17,9,0,19000
bak,Turkic,altc,38,27,7,20,11,11,11,0,1380000
bam,Western Mande,ncon,35,21,8,13,14,14,7,0,2700000
bao,Tucanoan,tucn,25,11,3,8,12,12,6,2,600
bas,Bantoid,ncon,41,29,15,14,7,7,7,5,230000
bav,Bantoid,ncon,82,56,34,22,17,17,9,9,27000
bax,Bantoid,ncon,38,28,9,19,10,10,10,0,215000
bba,Gur,ncon,30,18,6,12,12,12,7,0,460000
bbc,Sumatra,anes,27,18,7,11,9,9,9,0,2000000
bbk,,ncon,33,26,7,19,7,7,7,0,22500
bbl,Nakh,ncau,45,35,5,30,10,10,5,0,3420
bbo,Western Mande,ncon,33,21,8,13,12,12,7,0,35000
bbw,,ncon,30,23,9,14,7,7,7,0,24500
bbx,,ncon,39,25,12,13,14,14,7,0,600
bby,,ncon,59,43,12,31,14,14,8,2,2980
bca,Bai,sitb,29,18,8,10,11,11,11,0,800000
bce,,ncon,50,39,15,24,11,11,11,0,4000
bch,,anes,17,12,5,7,5,5,5,0,1380
bci,Kwa,ncon,23,16,4,12,7,7,7,0,2130000
bcj,Nyulnyulan,aust,24,17,12,5,7,7,4,0,380
bcs,Cross River,ncon,38,28,8,20,10,10,10,0,30000
bdl,Sama-Bajaw,anes,32,26,18,8,6,6,6,0,150000
bdr,Sama-Bajaw,anes,23,17,8,9,6,6,6,0,55000
bdu,Bantoid,ncon,29,22,13,9,7,7,7,0,106000
bdy,Pama-Nyungan,aust,16,12,8,4,4,4,4,0,10
beh,,ncon,27,14,6,8,10,10,6,3,64500
bej,Beja,afas,26,21,6,15,5,5,5,0,951000
bem,,ncon,25,15,7,8,10,10,5,0,3300000
ben,Indic,ieur,53,36,13,23,17,17,10,0,110000000
beq,Bantoid,ncon,41,19,6,13,20,20,5,2,3200
bev,Kru,ncon,37,24,9,15,13,13,13,0,130000
bex,Bongo-Bagirmi,nsah,49,31,15,16,18,18,9,0,100000
bfd,Bantoid,ncon,49,21,7,14,18,18,9,10,105000
bfl,,ncon,45,32,14,18,8,8,8,5,35500
bfm,,ncon,41,27,7,20,9,9,9,5,35000
